idestacion,lineaestacion,nombreestacion,NomLinea,linea_id,TipoAsistenciaPA,Elevadores,Escal_Electricas
1,linea 1indios verdes,Indios Verdes,Linea 1,1,PuntoFatiga,0,0
2,linea 1deportivo 18 de marzo,Deportivo 18 de Marzo,Linea 1,1,normal,0,0
3,linea 1euzkaro,Euzkaro,Linea 1,1,normal,0,0
4,linea 1potrero,Potrero,Linea 1,1,normal,0,0
5,linea 1la raza,La Raza,Linea 1,1,normal,1,0
6,linea 1circuito,Circuito,Linea 1,1,normal,0,0
7,linea 1san simón,San Simón,Linea 1,1,normal,0,0
8,linea 1manuel gonzález,Manuel González,Linea 1,1,normal,0,0
9,linea 1buenavista,Buenavista,Linea 1,1,normal,0,0
10,linea 1buenavista ii,Buenavista II,Linea 1,1,PuntoFatiga,0,0
11,linea 1el chopo,El Chopo,Linea 1,1,normal,0,0
12,linea 1revolución,Revolución,Linea 1,1,normal,0,0
13,linea 1plaza de la república,Plaza de la República,Linea 1,1,normal,0,0
14,linea 1reforma,Reforma,Linea 1,1,normal,0,0
15,linea 1hamburgo,Hamburgo,Linea 1,1,normal,0,0
16,linea 1insurgentes,Insurgentes,Linea 1,1,PuntoFatiga,2,4
17,linea 1durango,Durango,Linea 1,1,normal,0,0
18,linea 1álvaro obregón,Álvaro Obregón,Linea 1,1,normal,0,0
19,linea 1sonora,Sonora,Linea 1,1,normal,0,0
20,linea 1campeche,Campeche,Linea 1,1,normal,0,0
21,linea 1chilpancingo,Chilpancingo,Linea 1,1,normal,0,0
22,linea 1nuevo león,Nuevo León,Linea 1,1,normal,0,0
23,linea 1la piedad,La Piedad,Linea 1,1,normal,0,0
24,linea 1polifórum,Polifórum,Linea 1,1,normal,0,0
25,linea 1nápoles,Nápoles,Linea 1,1,normal,0,0
26,linea 1colonia del valle,Colonia del Valle,Linea 1,1,normal,0,0
27,linea 1ciudad de los deportes,Ciudad de los Deportes,Linea 1,1,PuntoFatiga,0,0
28,linea 1parque hundido,Parque Hundido,Linea 1,1,normal,0,0
29,linea 1félix cuevas,Félix Cuevas,Linea 1,1,normal,0,0
30,linea 1río churubusco,Río Churubusco,Linea 1,1,normal,0,0
31,linea 1teatro de los insurgentes,Teatro de los Insurgentes,Linea 1,1,normal,0,0
32,linea 1josé maría velasco,José María Velasco,Linea 1,1,PuntoFatiga,0,0
33,linea 1francia,Francia,Linea 1,1,normal,0,0
34,linea 1olivo,Olivo,Linea 1,1,normal,0,0
35,linea 1altavista,Altavista,Linea 1,1,normal,0,0
36,linea 1la bombilla,La Bombilla,Linea 1,1,normal,0,0
